名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
白龙禅寺,浙江,杭州,富阳区,0571,63435041,富阳区其他,郜白线,景点,宗教,119.899297,30.129228
白水涧景区,浙江,杭州,临安,0571,63772001,临安区其他,中国浙江省杭州市临安区横畈镇白水涧村（白水涧村）,景点,自然风光,119.725207,30.377958
白塔公园,浙江,杭州,杭州,0571,86081384,复兴路沿线/南星,南星街道老复兴街4号附近,景点,公园/广场,120.141751,30.199461
白云源,浙江,杭州,桐庐县,0571,64668587;64668589,富春江景区,富春江镇芦梅线芦茨村双源村,景点,自然风光,119.727444,29.706444
百梅禅寺,浙江,杭州,临安,0571,63773620,临安区其他,庆林街213号,景点,宗教,119.746355,30.325005
长桥公园,浙江,杭州,杭州,0571,,南山路/柳浪闻莺/美术学院,南山路138号,景点,城市公园,120.154817,30.231976
超山青莲寺,浙江,杭州,杭州,0571,86313400;86315121,临平风景区,崇超线,景点,宗教,120.206674,30.43225
慈云庵,浙江,杭州,临安,0571,63820008,临安区其他,宣桐高速,景点,宗教,119.405075,30.03536
大慈岩风景区,浙江,杭州,建德市,0571,64549228;64549418,建德市其他,大慈岩镇320国道,景点,宗教,119.294725,29.31386
大明山,浙江,杭州,临安,0571,4000699188,大明山风景区,清凉峰镇白果村横溪桥158号（大明山游客服务中心）,景点,自然风光,118.990377,30.056989
浙西大峡谷,浙江,杭州,临安,0571,63631745;63731829,龙岗镇,龙岗镇大峡谷村浙西大峡谷游客中心,景点,森林公园,119.122561,30.223005
大禹谷,浙江,杭州,杭州,0571,,余杭区,大禹谷,景点,自然风光,119.861202,30.304573
道源禅院,浙江,杭州,杭州,0571,82376521,城厢,道源路258号附近,景点,宗教,120.279225,30.151371
地藏寺,浙江,杭州,杭州,0571,82519775,瓜沥镇,瓜沥镇航坞山凤起东路,景点,宗教,120.427683,30.169989
东岳庙,浙江,杭州,杭州,0571,82807015,北干,蒙山路99号,景点,宗教,120.246748,30.1751
杭州上天竺法喜讲寺,浙江,杭州,杭州,0571,87986176,灵隐/白乐桥,天竺路338号,景点,宗教,120.095248,30.227296
凤凰寺,浙江,杭州,杭州,0571,,吴山广场/河坊街,中山中路227号（近西湖大道）,景点,宗教,120.170236,30.245455
富春桃源风景区,浙江,杭州,富阳区,0571,63284288;63283777,富春桃源通天飞瀑景区沿线,上练村,景点,自然风光,119.631477,30.01073
龚自珍纪念馆,浙江,杭州,杭州,0571,87068558,城站火车站/浙二医院,马坡巷16号,景点,纪念馆,120.183571,30.247961
孤山公园,浙江,杭州,杭州,0571,87996663,西湖北线/黄龙,西湖街道孤山北路3号,景点,城市公园,120.142553,30.251748
鼓楼,浙江,杭州,杭州,0571,56675002,吴山广场/河坊街,紫阳街道中山南路495号,景点,古代遗迹,120.171354,30.237992
冠山寺,浙江,杭州,杭州,0571,86606448,开发区/高教园,真经路,景点,宗教,120.192298,30.163642
郭庄景区,浙江,杭州,杭州,0571,87963033;87967384,龙井/虎跑,杨公堤28号南门,景点,园林,120.132251,30.244058
杭州花圃,浙江,杭州,杭州,0571,87963033,龙井/虎跑,西湖街道杨公堤29号,景点,植物园,120.127693,30.24567
杭州市革命烈士纪念馆,浙江,杭州,杭州,0571,86591874,龙井/虎跑,之江路2号,景点,纪念馆,120.133979,30.197559
杭州野生动物世界,浙江,杭州,富阳区,0571,58971111;58971113,野生动物园,杭富路九龙大道1号,景点,野生动物园,119.985268,30.153318
胡雪岩旧居,浙江,杭州,杭州,0571,86821131,吴山广场/河坊街,元宝街18号,景点,名人故居,120.172947,30.237306
湖天一碧,浙江,杭州,杭州,0571,180****3000,西湖北线/黄龙,孤山路27号（近平湖秋月）,景点,人文古迹,120.144652,30.250882
虎跑公园,浙江,杭州,杭州,0571,87981900,龙井/虎跑,虎跑路39号1层,景点,城市公园,120.130077,30.207593
华林寺,浙江,杭州,桐庐县,0571,64261244,桐庐县其他,华林路,景点,宗教,119.780933,29.800879
黄宾虹纪念馆,浙江,杭州,杭州,0571,87960839,西湖北线/黄龙,北山栖霞岭31号,景点,纪念馆,120.134719,30.253817
纪龙山,浙江,杭州,桐庐县,0571,69988472,桐庐县其他,桐庐县纪龙山卧龙洞,景点,自然风光,119.563699,29.935063
江寺公园,浙江,杭州,杭州,0571,82985212,城厢,萧然南路158号,景点,文化公园,120.271427,30.163304
接龙寺,浙江,杭州,杭州,0571,,瓜沥镇,坎山,景点,宗教,120.428722,30.175872
锦绣风水洞,浙江,杭州,杭州,0571,87601668,灵山风景区,灵山西山国家森林公园灵山风景区,景点,自然风光,120.050321,30.119311
径山风景区,浙江,杭州,杭州,0571,134****6393,余杭区,径山镇漕雅线,景点,自然风光,119.794116,30.415439
径山寺,浙江,杭州,杭州,0571,88601090,余杭区,径山镇径山村长径线径山古钟茶厂东南200米,景点,宗教,119.76511,30.380001
雷峰塔景区,浙江,杭州,杭州,0571,87982111,南山路/柳浪闻莺/美术学院,南山路15号,景点,历史建筑,120.149064,30.23088
李叔同纪念馆,浙江,杭州,杭州,0571,87982498,龙井/虎跑,虎跑路39号虎跑公园内,景点,纪念馆,120.130204,30.210544
临浦峙山寺,浙江,杭州,杭州,0571,82479027,临浦,詹家埭社区劳动路峙山公园,景点,宗教,120.246255,30.038419
柳浪闻莺公园,浙江,杭州,杭州,0571,87065684,吴山广场/河坊街,清波桥河下4号,景点,城市公园,120.156301,30.24035
柳溪江,浙江,杭州,临安,0571,63734488;63610688,临安区其他,昌湍线与昌文线交叉口北300米路东,景点,自然风光,119.249071,30.121284
六和塔文化公园,浙江,杭州,杭州,0571,86591401,龙井/虎跑,之江路16号（近钱塘江）,景点,文化公园,120.131293,30.196298
