名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
靖港古镇,湖南,长沙,长沙,0731,88306980;88306970,望城区,靖港古镇西游客中心,景点,古村古镇,112.790154,28.457395
长沙园林生态园,湖南,长沙,长沙,0731,86678012,开福区,捞刀河镇罗汉庄村,景点,植物园,113.040428,28.296112
麓谷公园,湖南,长沙,长沙,0731,,麓谷,天顶街道麓龙路209号,景点,公园/广场,112.896835,28.21339
幸福时光国际旅行社,湖南,长沙,长沙,0731,82566601;82207755,麓谷,麓谷雅园1栋1106（近湖南公信）,景点,旅行社,112.897774,28.20891
橘子洲大桥,湖南,长沙,长沙,0731,,橘子洲公园,五一大道橘子洲公园旁,景点,更多景点/周边游,112.959579,28.195786
周洛大峡谷,湖南,长沙,浏阳,0731,83542158;137****1063,浏阳市其他,社港镇周洛大峡谷风景区,景点,自然风光,113.666684,28.433393
大围山国家森林公园,湖南,长沙,浏阳,0731,83488701,浏阳市其他,大围山镇,景点,森林公园,114.117181,28.417422
北津城遗址,湖南,长沙,长沙,0731,,银盆岭,三汊矶内,景点,古代遗迹,112.947904,28.25619
肖劲光故居,湖南,长沙,长沙,0731,,河西大学城,岳麓山天马山景区赵洲港,景点,名人故居,112.952202,28.17238
禹之谟墓,湖南,长沙,长沙,0731,88825011,河西大学城,麓山路82号岳麓山风景名胜区,景点,古代遗迹,112.934656,28.181431
船山学社,湖南,长沙,长沙,0731,82222126,芙蓉广场,中山路74号,景点,人文古迹,112.982063,28.199474
芙蓉广场,湖南,长沙,长沙,0731,,芙蓉广场,五一大道与芙蓉中路,景点,广场,112.98494,28.195951
风帆广场,湖南,长沙,长沙,0731,,开福万达广场,湘江中路168号,景点,公园/广场,112.971781,28.208803
圣母无染原罪主教座堂,湖南,长沙,长沙,0731,,兴汉门,湘春巷8号天主堂,景点,宗教,112.979495,28.210275
湖南省群众艺术馆,湖南,长沙,长沙,0731,,天心区,杉木冲西路69号,景点,美术馆,112.980354,28.108354
华夏剪纸博物馆,湖南,长沙,长沙,0731,151****4757,郭亮中路,文源中路30号,景点,博物馆,112.817413,28.355019
黄兴故居纪念馆,湖南,长沙,长沙县,0731,86880133,黄兴镇,黄兴新村凉塘组,景点,纪念馆,113.104462,28.116962
谭嗣同故居,湖南,长沙,浏阳,0731,83629210,淮川街道,北正社区北正南路101号,景点,名人故居,113.630959,28.141235
谭嗣同纪念馆,湖南,长沙,浏阳,0731,83612877,淮川街道,才常路89号,景点,纪念馆,113.630547,28.13607
隋舍利塔,湖南,长沙,长沙,0731,88825011,河西大学城,麓山路82号岳麓山风景名胜区内（南侧）,景点,历史建筑,112.937213,28.179753
屈子祠,湖南,长沙,长沙,0731,88825011,河西大学城,岳麓山登高路58号,景点,历史建筑,112.939812,28.180494
云麓长廊,湖南,长沙,长沙,0731,88825011,河西大学城,潇湘中路与南湖路隧道交叉口西北200米,景点,更多景点/周边游,112.952629,28.16567
大韩民国临时政府活动旧址,湖南,长沙,长沙,0731,85180887,中山亭/乐和城,潮宗街楠木厅6号,景点,古代遗迹,112.973808,28.202276
穿石坡湖,湖南,长沙,长沙,0731,88825011,河西大学城,岳麓街道麓山路82号岳麓山风景名胜区,景点,自然风光,112.936594,28.175629
刘道一墓,湖南,长沙,长沙,0731,,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.936751,28.179688
张辉瓒墓,湖南,长沙,长沙,0731,,河西大学城,登高路58号岳麓山国家重点风景名胜区内,景点,古代遗迹,112.934989,28.181207
陶公庙,湖南,长沙,长沙县,0731,86806156,榔梨镇,梨街道街中心（近浏阳河）,景点,宗教,113.111252,28.181198
道吾山,湖南,长沙,浏阳,0731,83628506,浏阳市其他,浏阳3路,景点,自然风光,113.60044,28.189329
予园公馆,湖南,长沙,长沙,0731,,天心阁/白沙井,大古道巷吊马庄1号,景点,人文古迹,112.978514,28.185074
西文庙坪牌坊,湖南,长沙,长沙,0731,,人民西路口,西文庙坪巷7号（南门口地铁站1号口步行440米）,景点,宗教,112.971832,28.184843
长沙生态动物园,湖南,长沙,长沙,0731,85476906,友阿奥特莱斯,芙蓉南路四段729号,景点,动物园,113.004419,28.033112
紫龙湾温泉,湖南,长沙,宁乡市,0731,88650406;87211111,灰汤温泉镇,灰汤镇将军路2号紫龙湾温泉度假区（东南角）,景点,温泉,112.346231,27.978789
乐行天下国际旅行社,湖南,长沙,长沙,0731,82095308;82095328,梦泽园,车站北路168号都市先锋B座617室,景点,旅行社,113.009428,28.206032
浏阳石牛寨风景区,湖南,长沙,浏阳,0731,189****5220,浏阳市其他,社港镇石牛村上屋组,景点,自然风光,113.59377,28.402998
拱极楼,湖南,长沙,长沙,0731,88882152,橘子洲公园,橘子洲头2号橘子洲公园以北（近橘子洲尾沙滩乐园）,景点,历史建筑,112.963631,28.200169
江河旅行社,湖南,长沙,长沙,0731,138****2510,松桂园,芙蓉中路建鸿达大厦1705室,景点,旅行社,112.986641,28.203961
旅游百事通,湖南,长沙,长沙,0731,181****2967,梓园路/省儿童医院,韶山北路460号兴威名座大厦B座1710室,景点,旅行社,112.99769,28.172336
湖南省中国国际旅行社,湖南,长沙,长沙,0731,135****9368,银盆岭,芙蓉中路一段88号天健·芙蓉盛世H栋1层,景点,旅行社,112.986735,28.225135
密印寺,湖南,长沙,宁乡市,0731,87351177,宁乡市其他,沩山山腰毗卢峰下,景点,宗教,111.970947,28.176386
何叔衡故居,湖南,长沙,宁乡市,0731,87360106,宁乡市其他,长冲村杓子冲组155号,景点,名人故居,112.042999,28.050797
铁炉寺,湖南,长沙,长沙,0731,86672819,开福区,北霞路,景点,宗教,113.031783,28.312166
洗心禅寺,湖南,长沙,长沙,0731,88382000,长沙医学院,金山桥街道金星文化旅游园洗心路,景点,宗教,112.859077,28.278713
长沙基督教会,湖南,长沙,长沙,0731,85561505,湘雅附一医院,外湘春街80号,景点,宗教,112.978056,28.211346
清真寺,湖南,长沙,长沙,0731,85813658,天心阁/白沙井,回龙山,景点,宗教,112.982674,28.180201
基督教城南堂,湖南,长沙,长沙,0731,85131910,南门口,黄兴南路56号,景点,宗教,112.976421,28.180481
基督教循道会教堂旧址,湖南,长沙,宁乡市,0731,,玉潭镇,东沩南路68号,景点,宗教,112.564011,28.259576
徐特立公园,湖南,长沙,长沙县,0731,88662008,长沙经济技术开发区,龙喜路（近特立路）,景点,公园/广场,113.08036,28.25737
左宗棠墓,湖南,长沙,长沙,0731,138****8696,雨花区,柏竹村410100室,景点,古代遗迹,113.092548,28.092195
谢觉哉故居,湖南,长沙,宁乡市,0731,,宁乡市其他,沙田乡堆资村,景点,名人故居,112.060999,28.079516
望麓园故址,湖南,长沙,长沙,0731,,松桂园,建湘中路（近湘江宾馆）,景点,古代遗迹,112.983772,28.201431
蔡和森故居,湖南,长沙,长沙,0731,88883401,溁湾镇/新外滩,周家巷2号,景点,纪念馆,112.952568,28.193211
陈继武菊花石艺术陈列馆,湖南,长沙,浏阳,0731,83623874,淮川街道,才常路146号,景点,陈列馆,113.631645,28.136251
春秋旅游,湖南,长沙,长沙,0731,84467675,八一路,芙蓉东楼3018室（袁家岭地铁站3号口步行240米）,景点,旅行社,113.003374,28.194788
长沙市风光假日旅行社,湖南,长沙,浏阳,0731,83664528,集里街道,石霜路302号,景点,旅行社,113.625874,28.155494
凤形山公园,湖南,长沙,长沙县,0731,,长沙县,金福路,景点,公园/广场,113.371984,28.52606
湖南光大国际旅行社,湖南,长沙,长沙,0731,82250239,袁家岭/火车站,解放中路8号纺织大厦301室,景点,旅行社,112.996018,28.191008
国际旅行社芙蓉门市部,湖南,长沙,长沙,0731,84468900,袁家岭/火车站,五一大道168号,景点,旅行社,113.003858,28.194768
老战友国际旅行社,湖南,长沙,长沙,0731,84582388,袁家岭/火车站,长岛路11-8号3层,景点,旅行社,113.003953,28.196088
刘廷芳公馆旧址,湖南,长沙,长沙,0731,,湘雅附一医院,铁佛东街72号（文昌阁地铁站4号口步行140米）,景点,古代遗迹,112.979195,28.213088
美仑美术馆,湖南,长沙,长沙,0731,,高桥,东二环一段622号,景点,美术馆,113.017204,28.175341
青年旅行社,湖南,长沙,长沙,0731,84445222,侯家塘,芙蓉中路三段100号湘凯石化大厦18楼1801室,景点,旅行社,112.98452,28.169098
秋收起义纪念园,湖南,长沙,浏阳,0731,83770210,浏阳市其他,文家市镇人民路34号,景点,纪念公园,113.9328,28.042797
松柏寺,湖南,长沙,长沙县,0731,84020717,星沙一桥,星沙街道东升路44号,景点,宗教,113.074013,28.237628
易元和美术馆,湖南,长沙,长沙,0731,,河西大学城,韭菜园南路新富城富安大厦10楼3号,景点,美术馆,112.987411,28.182268
斑马湖,湖南,长沙,长沙,0731,82384698,郭亮中路,高塘岭大道联诚花园对面,景点,自然风光,112.825127,28.358027
宝中旅游,湖南,长沙,长沙,0731,89789311,桂花路/左家塘,桂花路与阿弥岭路交叉口西40米,景点,旅行社,113.006113,28.170493
梅溪湖公园,湖南,长沙,长沙,0731,186****0338,梅溪湖,梅溪湖路（近汽车西站）,景点,公园/广场,112.896763,28.188811
龙骧旅行社,湖南,长沙,长沙,0731,85422777,袁家岭/火车站,八一路35号,景点,旅行社,113.008309,28.196815
宁乡千佛洞,湖南,长沙,宁乡市,0731,87550989,黄材旅游区,黄材镇石龙洞村,景点,自然风光,112.138975,28.21462
千佛洞石林公园,湖南,长沙,宁乡市,0731,132****6789,黄材旅游区,石龙洞村千佛洞景区（近千佛洞景区售票厅）,景点,公园/广场,112.138397,28.214317
兴隆生态园,湖南,长沙,长沙,0731,86933888,黑石铺/大托,桂升路,景点,动植物园,112.936568,28.066974
新康辉国际旅行社,湖南,长沙,长沙,0731,86452211,开福区,迎宾路179号,景点,旅行社,112.991551,28.201351
刘少奇纪念馆,湖南,长沙,宁乡市,0731,87094027,宁乡市其他,炭子冲村（近安源路）,景点,纪念馆,112.646651,28.034761
长沙乐林游乐园,湖南,长沙,长沙,0731,155****1269,天际岭,湘府东路森林植物园新北门（湖南省森林植物园内）,景点,游乐场,113.033943,28.107382
响鼓岭,湖南,长沙,长沙,0731,88825011,河西大学城,西湖街道岳麓山风景名胜区麓山景区云麓宫后,景点,自然风光,112.931824,28.177635
