名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
国家植物园,北京,北京,北京,010,82598771,香山/植物园,香山路与中轴路交叉口东北角,景点,植物园,116.210907,39.998135
菖蒲河公园,北京,北京,北京,010,,王府井/东单,菖蒲河沿9号（天安门东地铁站B东北口步行200米）,景点,城市公园,116.403618,39.908562
东单公园,北京,北京,北京,010,65129353,王府井/东单,大华路4号,景点,城市公园,116.417107,39.9049
丰台科技园生态主题公园,北京,北京,北京,010,63730113,看丹桥/新华街,科兴路1号(科怡路口)（丰台南路地铁站D西南口步行410米）,景点,公园/广场,116.295235,39.838959
福海公园,北京,北京,北京,010,,大红门,永外高庄138号,景点,城市公园,116.402,39.847157
古城公园,北京,北京,北京,010,68878597,古城/八角,古城南路1号,景点,公园/广场,116.193321,39.911777
北京国际雕塑公园,北京,北京,北京,010,68650422,鲁谷,石景山路2号（地铁玉泉路A出口西南400米）,景点,文化公园,116.245079,39.906017
昊天公园,北京,北京,北京,010,69354447,良乡,东关街73号,景点,公园/广场,116.154602,39.733765
黑山公园,北京,北京,门头沟区,010,69842990,门头沟城区,黑山大街12号,景点,城市公园,116.096481,39.94075
红领巾公园,北京,北京,北京,010,85824746,十里堡,八里庄5号,景点,城市公园,116.491402,39.926601
花乡公园,北京,北京,北京,010,63713852,世界公园,丰葆路,景点,公园/广场,116.297295,39.805218
槐房钓鱼公园,北京,北京,北京,010,,大红门,槐房路,景点,城市公园,116.378571,39.81871
黄渠公园,北京,北京,北京,010,65754850,定福庄,黄渠村（褡裢坡地铁站B东北口步行470米）,景点,城市公园,116.568497,39.927597
会城门公园,北京,北京,北京,010,63467342,首都博物馆/莲花池东路,双贝子坟路1号,景点,城市公园,116.333214,39.901096
景藏健康公园,北京,北京,北京,010,58590706,北苑家园,奥运村安立路81号（北五环仰山桥向北）,景点,公园/广场,116.40853,40.037822
景山公园,北京,北京,北京,010,64038098,地安门,景山西街44号（故宫后门对面）,景点,园林,116.396935,39.925797
莲花池公园,北京,北京,北京,010,63972892,北京西站/六里桥,西三环中路38号,景点,城市公园,116.314919,39.892105
柳荫公园,北京,北京,北京,010,84131660,安定门,安定门外黄寺大街8号,景点,城市公园,116.402122,39.960835
龙潭公园,北京,北京,北京,010,67144336;67186358,左安门,龙潭路8号,景点,城市公园,116.440735,39.878754
