名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
中央军事政治学校旧址,湖北,武汉,武汉,027,,首义汇/阅马场,解放路259号（原两湖书院内）,景点,古代遗迹,114.296631,30.539671
黄鹤楼,湖北,武汉,武汉,027,88875096,首义汇/阅马场,西山坡特1号,景点,历史建筑,114.302568,30.54462
放鹰台遗址,湖北,武汉,武汉,027,,水果湖,白鹭街与天鹅路交叉处往南约100米,景点,古代遗迹,114.353699,30.548389
宝通禅寺,湖北,武汉,武汉,027,87884539,中南路/洪山广场,武珞路549号,景点,宗教,114.340958,30.532158
杨春湖,湖北,武汉,武汉,027,,八大家/红钢城,杨春湖路,景点,自然风光,114.418094,30.613764
凤凰山,湖北,武汉,武汉,027,,纸坊,中山路,景点,自然风光,114.291425,30.368601
木兰山古建筑群,湖北,武汉,武汉,027,,黄陂区,长轩岭镇木兰山古建筑群,景点,历史建筑,114.382188,31.109024
盘龙城国家考古遗址公园,湖北,武汉,武汉,027,61915773;61915876,盘龙城,盘龙大道特1号,景点,古代遗迹,114.271957,30.697405
黄狮海,湖北,武汉,武汉,027,,吴家山,黄狮海南路融创观澜府北侧约40米,景点,自然风光,114.151824,30.638824
马投潭遗址,湖北,武汉,武汉,027,,吴家山,三店西路22号东西湖区,景点,古代遗迹,114.126287,30.635907
后官湖国家湿地公园,湖北,武汉,武汉,027,69606288;69112210,蔡甸周边,中法武汉生态示范城五贤南路58号,景点,公园/广场,114.06855,30.545523
金银湖国家城市湿地公园,湖北,武汉,武汉,027,,金银湖,金山大道,景点,公园/广场,114.18734,30.641491
龙阳湖,湖北,武汉,武汉,027,,汉阳大道,仙女山路与墨北西延线交叉口南侧,景点,自然风光,114.192447,30.555663
三角湖,湖北,武汉,武汉,027,,沌口,南苑路江汉大学,景点,自然风光,114.166046,30.510618
设法山,湖北,武汉,武汉,027,,沌口,（近沉湖）,景点,自然风光,114.127603,30.413493
太渔山,湖北,武汉,武汉,027,,光谷/鲁巷,鲁巷西都陈附近,景点,自然风光,114.451951,30.524341
水果湖,湖北,武汉,武汉,027,,水果湖,水果湖街道武昌白鹭街,景点,更多景点/周边游,114.348793,30.551199
陈友谅墓,湖北,武汉,武汉,027,,首义汇/阅马场,长江大桥武昌桥头引桥南坡下,景点,古代遗迹,114.295654,30.5455
龙泉山风景区,湖北,武汉,武汉,027,81620543,梁子湖风景区,东湖高新技术开发区,景点,自然风光,114.518349,30.409098
武汉国际会展中心,湖北,武汉,武汉,027,85816005,武展商圈,解放大道696号(艳阳天酒家幸福殿堂店),景点,展览馆,114.273577,30.580299
