名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
康辉旅游,上海,上海,上海,021,61819888;4006206888,南京西路,北京西路1287号机电大厦3楼（近天目西路）,景点,旅行社,121.450661,31.228512
扬子国际旅行社,上海,上海,上海,021,64950844,漕河泾/田林,道北路485号,景点,旅行社,121.415682,31.180546
海盗船,上海,上海,上海,021,,中山公园/江苏路,长宁路1018号龙之梦3楼3010AB室（近凯旋路),景点,游乐场,121.415688,31.22242
福德广场,上海,上海,上海,021,,四川北路/海伦路,四川北路与海伦西路交叉口南60米,景点,公园/广场,121.483093,31.257761
东廊画廊,上海,上海,上海,021,62769932,长寿路,莫干山路50号6号楼5层,景点,展览馆,121.449295,31.248178
上海当代艺术馆,上海,上海,上海,021,63279900,人民广场/南京路,南京西路人民公园内（近7号门）,景点,美术馆,121.472786,31.231424
新华路,上海,上海,上海,021,,上海影城/新华路,新华路街道,景点,休闲街区,121.426178,31.205629
多伦路文化名人街,上海,上海,上海,021,,四川北路/海伦路,多伦路（东江湾路至四川北路）,景点,休闲街区,121.481674,31.263271
朱家角古镇,上海,上海,上海,021,59240077,朱家角/东方绿舟,课植园路555号,景点,古村古镇,121.054321,31.110615
莘庄公园,上海,上海,上海,021,64921817,莘庄,莘庄镇莘浜路421号,景点,文化公园,121.372513,31.10207
长寿公园,上海,上海,上海,021,52521386,长寿路,长寿路260号（长寿路地铁站3号口步行290米）,景点,公园/广场,121.439521,31.243406
长风公园,上海,上海,上海,021,62453270,长风公园/华师大,大渡河路189号,景点,城市公园,121.400589,31.225052
曲阳公园,上海,上海,上海,021,65420593,曲阳地区,中山北一路880号,景点,城市公园,121.486336,31.287184
金桥公园,上海,上海,上海,021,58541197,金桥,台儿庄路408号,景点,城市公园,121.593208,31.257029
复兴岛公园,上海,上海,上海,021,65683806,杨浦区,共青路386号,景点,城市公园,121.562355,31.286432
杨浦公园,上海,上海,上海,021,65430028,黄兴公园,双阳路399号,景点,城市公园,121.536285,31.280441
