名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
南岳庙,河南,郑州,登封市,0371,,登封市其他,G207,景点,宗教,112.982571,34.371901
大禹园,河南,郑州,登封市,0371,,嵩山一号,嵩阳街道大禹路与守敬路交叉口路西,景点,城市公园,113.053084,34.466651
会善寺,河南,郑州,登封市,0371,83039899,登封市其他,六公里嵩山南麓积翠峰下,景点,宗教,113.005154,34.491804
中国厨房文化博物馆,河南,郑州,中牟县,0371,60862000,白沙镇,新安路10号,景点,博物馆,113.904774,34.700285
郑州市中牟县西关清真寺,河南,郑州,中牟县,0371,,中牟大厦,民族路管道三公司第三生活小区东北侧约80米,景点,宗教,114.022641,34.726345
中牟烈士陵园,河南,郑州,中牟县,0371,,中牟大厦,青年西路12号,景点,烈士陵园,114.02324,34.723192
河南康辉国际旅行社,河南,郑州,中牟县,0371,62100018;62100959,中牟大厦,建设南路53号,景点,旅行社,114.017352,34.723732
万胜清真寺,河南,郑州,中牟县,0371,,中牟县其他,中牟服务区,景点,宗教,113.998642,34.840406
康清池水上乐园,河南,郑州,中牟县,0371,,百乐汇购物广场,冷藏保鲜协会东南门北90米,景点,水上乐园,114.012291,34.736794
高皇寺,河南,郑州,中牟县,0371,62356656,中牟县其他,(街道)前段村高皇寺路001号,景点,宗教,113.94491,34.537262
东关社区文化活动广场,河南,郑州,中牟县,0371,,中牟县其他,东关南街与青年东路交叉路口东北侧（光荣院东侧）,景点,公园/广场,114.039343,34.722594
东湖,河南,郑州,中牟县,0371,,中牟县其他,郑开大道,景点,自然风光,114.147054,34.767397
河南康辉国际旅行社,河南,郑州,郑州,0371,66293757;66293758,西大街,裕鸿花园C栋7层（东大街地铁站D口步行100米）,景点,旅行社,113.681021,34.748721
中青旅行社,河南,郑州,郑州,0371,4001588006,西大街,紫荆山路60号金成国贸大厦16层1618号,景点,旅行社,113.681323,34.752172
巩义市鸿鑫旅行社,河南,郑州,巩义市,0371,64391000,星月时代广场,新华路街道新华路老干部活动中心三楼（巩义市武装部）,景点,旅行社,112.983805,34.751135
康辉国际旅行社,河南,郑州,郑州,0371,68272738,富田太阳城,航海东路北魏庄西街两侧郑州旅游职业学院内,景点,旅行社,113.697473,34.724113
河南旅游集团,河南,郑州,巩义市,0371,,星月时代广场,新华路248号,景点,旅行社,112.984106,34.753346
康辉旅行社,河南,郑州,郑州,0371,155****1983,经三路沿线,中州大道与林科路交叉口非常国际6号楼单元503室,景点,旅行社,113.703064,34.790607
康辉国际旅行社分社,河南,郑州,巩义市,0371,60325588,体育馆,桐本路安乐街口,景点,旅行社,112.993708,34.743398
快修一条街,河南,郑州,郑州,0371,134****2898,沙门/汽配,国基路55号,景点,步行街,113.678619,34.819499
百事通旅游汝河路服务网点,河南,郑州,郑州,0371,68833995,儿童公园/凯旋门,汝河路8号,景点,旅行社,113.598871,34.732681
河南中国旅行社,河南,郑州,新郑市,0371,62688101,庆都生活广场,人民路黄帝像东北角鑫港快捷酒店一楼大厅,景点,旅行社,113.748755,34.395745
百事通旅游公司,河南,郑州,荥阳市,0371,67329022,荥阳图书馆,万山路161号,景点,旅行社,113.384939,34.785251
旅院旅行社,河南,郑州,郑州,0371,68272738,富田太阳城,郑州旅游职业学院院内,景点,旅行社,113.69754,34.72407
御窑阁汝瓷艺术馆,河南,郑州,郑州,0371,159****8898;150****3963,金水路/省政府,政一街纬二路26号院,景点,美术馆,113.687095,34.767155
新铜雀湾温泉酒店,河南,郑州,郑州,0371,65675880,曼哈顿广场/英协路,金水路与英协路交叉口北100米路东,景点,温泉,113.718498,34.764533
城外城博物馆,河南,郑州,郑州,0371,68953233;155****6448,帝湖,长江西路西三环交叉口南100米路西,景点,博物馆,113.612564,34.70808
黄淮艺术博物馆,河南,郑州,郑州,0371,,东建材,兴荣街17号,景点,博物馆,113.747839,34.757499
稼祥商业广场,河南,郑州,新密市,0371,,迎客松购物广场,大学南路与平安街交叉口西150米,景点,广场,113.648108,34.52256
春秋阁景区,河南,郑州,巩义市,0371,,巩义市其他,益家窝村,景点,历史建筑,112.935734,34.714981
当代艺术馆,河南,郑州,郑州,0371,,裕达国贸,伊河路12号,景点,美术馆,113.625343,34.742882
二祖庵,河南,郑州,登封市,0371,,登封市其他,少林寺旅游景点常住院对面的少室山钵盂峰顶,景点,宗教,112.937358,34.489342
古荥汉代冶铁遗址,河南,郑州,郑州,0371,63592996,黄河游览区,古须北路79号,景点,古代遗迹,113.533974,34.875572
京汉铁路工人大罢工史迹陈列馆,河南,郑州,郑州,0371,66966789;55090650,火车站/二七广场,钱塘路商业街82号,景点,陈列馆,113.666451,34.746075
康辉国际旅行社,河南,郑州,郑州,0371,55331815;55331817,儿童公园/凯旋门,陇海路与桐柏路交叉口向东50米升龙金中环财富中心A座3401室,景点,旅行社,113.613247,34.738007
青龙山后寺河风景区,河南,郑州,巩义市,0371,,巩义市其他,焦桐高速,景点,自然风光,113.030173,34.707504
世博会河南纪念馆,河南,郑州,郑州,0371,,郑东新区CBD,商务外环路8号世博大厦1层,景点,纪念馆,113.718391,34.772928
太室阙,河南,郑州,登封市,0371,62872569,登封市其他,颍河路,景点,古代遗迹,113.074301,34.450549
新通桥游园,河南,郑州,郑州,0371,,健康路/零零茂,金水路与文化路交叉口,景点,城市公园,113.667213,34.764668
永定陵,河南,郑州,巩义市,0371,,巩义市其他,蔡庄北1公里310国道旁,景点,古代遗迹,112.980682,34.703139
竹园,河南,郑州,郑州,0371,,科学大道,枫杨街道翠竹街与银屏路交叉口西150米,景点,公园/广场,113.556648,34.817913
自然博物馆,河南,郑州,郑州,0371,,北大学城,文化路与英才街郑州师范学院西门院内,景点,博物馆,113.645669,34.866399
启明广场,河南,郑州,郑州,0371,,经开区,明湖街道经济开发区明湖街道航海路与朝凤路南100米,景点,广场,113.732384,34.720257
荥阳黄河纪念公园,河南,郑州,荥阳市,0371,85212223,荥阳市其他,兴榴大道高村乡枣树沟村,景点,纪念公园,113.353938,34.946931
郑州华海旅行社,河南,郑州,郑州,0371,65571660,经三路沿线,政七街纬五路交叉口向西50米路南物华大酒店21楼2188室,景点,旅行社,113.686056,34.771514
雁鸣湖恐龙谷凌云温泉,河南,郑州,中牟县,0371,62322777;62322555,雁鸣湖镇,雁鸣大道国家农业公园内,景点,温泉,114.080646,34.856607
宋哲宗永泰陵,河南,郑州,巩义市,0371,,巩义市其他,乡八陵村村南,景点,古代遗迹,112.91391,34.652754
穴道墓,河南,郑州,新密市,0371,,新密市其他,未来大道,景点,古代遗迹,113.336264,34.514264
郑庄公冢,河南,郑州,新密市,0371,,新密市其他,尚庄村东南,景点,古代遗迹,113.627521,34.458782
河南中州国际旅行社,河南,郑州,郑州,0371,86165811,大石桥/体育场,优胜南路26号国奥商务,景点,旅行社,113.6666,34.767073
康辉国际旅行社,河南,郑州,登封市,0371,85033111,百货大楼/中天广场,中岳大街与菜园路交汇处西100米路北,景点,旅行社,113.041802,34.458132
康辉国际旅行社,河南,郑州,郑州,0371,53363368,东风路,南阳新村街道东风路与南阳路交叉口天旺广场,景点,旅行社,113.636291,34.795525
新郑市郑国车马坑景区,河南,郑州,新郑市,0371,62680689,新郑市其他,文化路1号,景点,古代遗迹,113.735824,34.38428
中国旅行社,河南,郑州,郑州,0371,88888456,人民路/紫荆山,紫荆山路1号紫荆商务1118室（近紫荆山公园）,景点,旅行社,113.681602,34.762741
鸡冠山,河南,郑州,荥阳市,0371,,荥阳市其他,梅河口市西南方的吉乐乡,景点,自然风光,113.285792,34.626045
中州国际旅行社,河南,郑州,郑州,0371,65392868;155****3990,建文新世界,黄河路经八路交叉口经津大厦,景点,旅行社,113.669263,34.776767
阳光旅行社,河南,郑州,郑州,0371,62694765,黄河游览区,北环路惠济桥村东,景点,旅行社,113.591702,34.890404
新大陆旅行社,河南,郑州,郑州,0371,55023748,火车站/二七广场,大同路93号格林兰大酒店一楼,景点,旅行社,113.662853,34.745703
豫中旅国际旅行社,河南,郑州,郑州,0371,133****8613,二七万达,大学路航海路交叉口二七万达12B座1736室,景点,旅行社,113.643563,34.717358
河南中州国际旅行社,河南,郑州,郑州,0371,63320237;181****6209,碧沙岗,嵩山北路20号,景点,旅行社,113.627828,34.750228
中国青年旅行社,河南,郑州,郑州,0371,63812548,大石桥/体育场,金水路95号兴达通苑A座306室,景点,旅行社,113.664529,34.763997
榆林云岩寺,河南,郑州,郑州,0371,,经三路沿线,紫金山路（近东明路）,景点,宗教,113.689814,34.796021
咸阳唐家民居民俗博物馆,河南,郑州,郑州,0371,135****2112,经三路沿线,紫金山路东明路,景点,博物馆,113.689964,34.796204
康辉旅行社,河南,郑州,郑州,0371,55903680;150****5536,儿童公园/凯旋门,陇海路与桐柏路交叉口凯旋门大厦c座22楼2203室（近桐柏路）,景点,旅行社,113.612527,34.735177
云翔航旅,河南,郑州,郑州,0371,87071836,碧沙岗,嵩山北路59号,景点,旅行社,113.62988,34.75992
河南海外旅游有限公司红专路营业网点,河南,郑州,郑州,0371,158****1080,经三路沿线,红专路与政六街交叉口西南角荣华商务7楼720室,景点,旅行社,113.682559,34.781459
河南省中国旅行社有限公司,河南,郑州,郑州,0371,67719997,新世界百货,建设路和嵩山路交叉口西北角,景点,旅行社,113.682432,34.749555
郑风生态牡丹园,河南,郑州,中牟县,0371,65727711;65727377,白沙镇,凤栖路保利罗兰香谷对面,景点,植物园,113.90664,34.712911
旅游百事通,河南,郑州,郑州,0371,63355558,人民路/紫荆山,紫荆山路与金水路交叉口紫荆山商务楼7楼701室,景点,旅行社,113.682701,34.764153
河南富景旅行社,河南,郑州,郑州,0371,66380881,金水路/省政府,东明路顺河路好如家快捷酒店10楼1005室,景点,旅行社,113.699805,34.759485
郑州南环公园,河南,郑州,郑州,0371,,二七区,南四环与大学南路交叉口东北角,景点,城市公园,113.647469,34.666573
河南海外旅行社,河南,郑州,郑州,0371,134****7383,冉屯路/五龙口,煤仓北街5号（农业路与桐柏路交叉口向南200米路西）,景点,旅行社,113.616528,34.772478
裴李岗村李氏祠堂,河南,郑州,新郑市,0371,,新郑市其他,X029与Y008交叉口西南方向160米,景点,人文古迹,113.659398,34.435923
中国旅行社总社河南有限公司,河南,郑州,郑州,0371,65578087,郑东新区CBD,黄河南路与熊耳河路交叉口,景点,旅行社,113.745046,34.769235
中国青年旅行社,河南,郑州,郑州,0371,65786102,国贸360,花园路与丰产路国贸4号楼3单元2608,景点,旅行社,113.679878,34.784168
青屏广场,河南,郑州,新密市,0371,,青屏广场,西大街与雪花街交叉口（金博大购物中心）,景点,广场,113.367953,34.535434
柏茂庄园,河南,郑州,巩义市,0371,64188788,巩义市其他,新中村,景点,历史建筑,113.197543,34.696023
天宇旅游,河南,郑州,郑州,0371,65831999,金水路/省政府,紫荆山金水路交叉口河南饭店南门口,景点,旅行社,113.681068,34.764188
天宇旅游,河南,郑州,郑州,0371,65831999,升龙广场,嵩山南路238号国际旅游大厦3楼,景点,旅行社,113.627769,34.716862
康辉国际旅行社,河南,郑州,郑州,0371,55331816,二七万达,大学路航海路交叉口二七万达2号院,景点,旅行社,113.6435,34.717724
行者无疆俱乐部-旅游百事通,河南,郑州,郑州,0371,63461848;180****6986,橄榄城,南三环与连云路交叉口东南角,景点,旅行社,113.671658,34.697778
中青国际旅行社,河南,郑州,郑州,0371,55637712,金水路/省政府,经六路纬一路索克豫发大厦A座605,景点,旅行社,113.675133,34.766111
鸿雁国际旅行社,河南,郑州,巩义市,0371,69596299;64373499,星月时代广场,新华路与新兴路交叉口向西十米三新广场,景点,旅行社,112.983033,34.755643
都游吧旅游网,河南,郑州,郑州,0371,181****8161,大石桥/体育场,经八路街道文化路与优胜北路交叉口西北角,景点,旅行社,113.665752,34.769506
河南海外旅行社,河南,郑州,郑州,0371,63718128;135****7546,中原万达,中原中路万隆广场7层,景点,旅行社,113.59034,34.747747
河南和信国际旅行社,河南,郑州,郑州,0371,63367226,经三路沿线,经三路广电南路格林融熙国际7楼（近广电南路）,景点,旅行社,113.693083,34.805359
要出发周边游,河南,郑州,郑州,0371,4001181166,新世界百货,紫荆山路东里路人民银行家属楼1号楼1803室,景点,旅行社,113.681779,34.758731
嵩阳景区,河南,郑州,登封市,0371,62830518,登封市其他,太室路与少室路交叉口北50米,景点,自然风光,113.035902,34.499282
鸿雁国际旅行社,河南,郑州,登封市,0371,62931333,嵩阳公园,颍河路50号,景点,旅行社,113.031821,34.467011
鑫隆温泉酒店,河南,郑州,郑州,0371,86532222,长江中路沿线,兴华南街与南三环交叉口南100米路东,景点,温泉,113.633239,34.697235
源博旅行社,河南,郑州,郑州,0371,67613000;67100139,碧沙岗,建设路与百花路交叉口西北角鑫苑国际广场1号楼543室,景点,旅行社,113.623247,34.755607
