名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
龙胜温泉旅游度假区,广西,桂林,龙胜各族自治县,0773,7482241;7482888,龙胜各族自治县其他,江底乡龙胜温泉景区,景点,温泉,110.21233,25.8922
梦之旅旅游咨询有限公司,广西,桂林,阳朔县,0773,2269701;180****7272,益田西街,蟠桃路12号,景点,旅行社,110.491581,24.774231
康辉国旅,广西,桂林,桂林,0773,137****6760,理工大学屏风校区,建干路桂林理工大学教八楼以南9号门面（民丰大酒店旁）,景点,旅行社,110.314597,25.282017
阳朔仙境之旅,广西,桂林,阳朔县,0773,138****5755,西街周边/抗战路,城西路88号,景点,旅行社,110.477895,24.779223
凤凰山,广西,桂林,兴安县,0773,,兴安县其他,湘漓镇,景点,自然风光,110.697328,25.645372
螃蟹沟,广西,桂林,龙胜各族自治县,0773,,龙胜各族自治县其他,江底乡矮岭温泉景区内,景点,自然风光,110.212891,25.892121
清真寺,广西,桂林,平乐县,0773,,平乐县中心城区,正西街66号西南方向60米,景点,宗教,110.640045,24.632502
自然风旅行,广西,桂林,桂林,0773,133****5105;133****7067,中心广场/两江四湖,正阳路4号名城大酒店3楼自然风旅行社,景点,旅行社,110.297865,25.274115
天利国际旅行社,广西,桂林,桂林,0773,2269701,广西师大/三里店广场,朝阳路3号,景点,旅行社,110.329211,25.267601
侗家古寨,广西,桂林,桂林,0773,181****9873;152****0445,象山区,019乡道与321国道交叉口西1000米路南,景点,人文古迹,110.280685,25.140329
桂林兴坪古镇,广西,桂林,阳朔县,0773,,兴坪古镇/阳朔高铁站,新榕街兴坪古镇,景点,古村古镇,110.530564,24.916576
兴坪-杨堤往返含车接送,广西,桂林,阳朔县,0773,181****2093,兴坪古镇/阳朔高铁站,兴坪码头,景点,旅行社,110.526091,24.916641
漓江竹筏漂流网,广西,桂林,阳朔县,0773,187****7770,西街,神山路9巷15号,景点,漂流,110.491805,24.785762
桂林市海外旅游总公司,广西,桂林,桂林,0773,188****6646,中心广场/两江四湖,西山路南巷6号,景点,旅行社,110.27919,25.277026
桂林漓旅国际旅行社有限公司,广西,桂林,桂林,0773,2230028,西城路步行街,南环路5号19栋6楼,景点,旅行社,110.287087,25.270097
江山国际旅行社,广西,桂林,桂林,0773,159****8555;187****3993,桂林站,民主路万寿巷2号附近,景点,旅行社,110.293137,25.260787
桂林辰龙国际旅行社服务有限公司,广西,桂林,桂林,0773,5800170,七星公园,六合路3号2楼,景点,旅行社,110.310382,25.277332
胜境遇龙桥畔客栈,广西,桂林,阳朔县,0773,182****7755,遇龙河景区,遇龙河景区（白沙镇遇龙村遇龙桥漂游）,景点,更多景点/周边游,110.398683,24.809351
滨江景区,广西,桂林,桂林,0773,,中心广场/两江四湖,依仁路1-1号附近,景点,自然风光,110.302841,25.280579
画廊花海,广西,桂林,阳朔县,0773,,十里画廊,画廊别院山庄西北250米,景点,植物园,110.493774,24.744404
桂林市漓悠悠国际旅行社有限公司,广西,桂林,桂林,0773,137****4543,桂林站,中山南路口立交桥西侧经贸大厦11层,景点,旅行社,110.283532,25.259132
桂林市虹桥国际旅行社,广西,桂林,桂林,0773,186****3113,西山公园,西山南路10号,景点,旅行社,110.280212,25.276982
桂林民族国际旅行社,广西,桂林,桂林,0773,3828712,象山公园,民主路106号-1单元,景点,旅行社,110.292191,25.264876
乐满地度假酒店科技温泉,广西,桂林,兴安县,0773,6229988;6229898,乐满地主题乐园,志玲路,景点,温泉,110.677437,25.58938
留公村,广西,桂林,阳朔县,0773,8923560,阳朔县其他,普益乡,景点,特色乡村,110.583904,24.736504
龙潭古寨,广西,桂林,阳朔县,0773,,十里画廊,062乡道北50米,景点,古村古镇,110.455345,24.72851
老兵之家,广西,桂林,阳朔县,0773,,西街,神山路与城北路交叉口北260米,景点,旅行社,110.49214,24.781005
桂林途游旅行,广西,桂林,桂林,0773,2115559,西城路步行街,民主路万寿巷43号,景点,旅行社,110.28987,25.266831
桂林经典国际旅游有限公司,广西,桂林,桂林,0773,2311033;181****2115,桂林站,中山南路70号桂林饭店4楼,景点,旅行社,110.284419,25.260559
九屋西岭生态度假景区,广西,桂林,灵川县,0773,133****0158,灵川县其他,九屋镇西岭村,景点,自然风光,110.235814,25.693694
桂林市和平国际旅行社有限公司,广西,桂林,桂林,0773,133****0158,西城路步行街,西城路步行街81号三晶楼5层,景点,旅行社,110.287718,25.271438
五达涟度假村,广西,桂林,阳朔县,0773,135****5198,阳朔县其他,福利镇渡头村,景点,景点/周边游,110.548776,24.772746
佳音国际旅行社,广西,桂林,桂林,0773,180****3144,七星区,朝阳乡朝阳路信息产业园D-12民华科技信息孵化基地二期D座第2层202房,景点,旅行社,110.337382,25.267152
桂林市风情旅行社,广西,桂林,桂林,0773,2300488,会展中心/甲天下广场,安新北路727号,景点,旅行社,110.296983,25.261914
桃花江,广西,桂林,桂林,0773,,西山公园,桃花江路与巫山路交叉口西南420米,景点,自然风光,110.265839,25.283428
鸭湖公园,广西,桂林,桂林,0773,,北极广场,水塔路,景点,公园/广场,110.293716,25.311342
金山院,广西,桂林,灵川县,0773,,灵川县其他,文兰线,景点,历史建筑,110.251059,25.513547
爱游国际旅行社有限公司,广西,桂林,桂林,0773,2583344,七星区,创意产业园6号楼三楼,景点,旅行社,110.338263,25.241513
桂林和谐国旅市场部,广西,桂林,桂林,0773,150****2346,临桂区中心城区,临桂函授站南侧,景点,旅行社,110.213036,25.248306
漓江国旅,广西,桂林,桂林,0773,,中心广场/两江四湖,滨江路11号,景点,旅行社,110.296019,25.269959
七星岩,广西,桂林,桂林,0773,5814342,广西师大/三里店广场,七星路1号七星景区内,景点,自然景观,110.312045,25.274726
名镇秦人街,广西,桂林,兴安县,0773,6210688,志玲路,中国广西壮族自治区桂林市兴安县三台路县委县政府右侧,景点,观光街区,110.671036,25.612204
大麦旅行,广西,桂林,桂林,0773,180****1597,中心广场/两江四湖,中山中路45号华联商厦一单元707室,景点,旅行社,110.29541,25.279247
