名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
中国旅行社,福建,厦门,厦门,0592,5109192,市政府,嘉禾路261号武汉大厦1-7F,景点,旅行社,118.097441,24.482951
厦门金厦假日旅行社有限公司,福建,厦门,厦门,0592,2917288,火车站,金榜路63号529室,景点,旅行社,118.110085,24.468705
乐透旅行社,福建,厦门,厦门,0592,5827918,火车站,厦禾路844号中厦国际大厦6楼,景点,旅行社,118.108772,24.46694
港中旅国贸旅行社,福建,厦门,厦门,0592,5899018,环岛路沿线,厦禾路820号帝豪大厦1101-1102号,景点,旅行社,118.104492,24.465706
国旅旅运服务,福建,厦门,厦门,0592,5962889,环岛路黄厝海滨浴场,塔头路与环岛南路辅路交叉口西北240米,景点,旅行社,118.14128,24.43336
集大旅行社,福建,厦门,厦门,0592,6181658;6181540,集美万达广场,银江路183号集大宾馆1层,景点,旅行社,118.095329,24.575068
中国旅行社,福建,厦门,厦门,0592,8769121,同安老城区/钟楼,同新路47号,景点,旅行社,118.152283,24.728907
中国金桥国际旅行社,福建,厦门,厦门,0592,180****5856,市政府,湖滨北路28号建业大厦1104室,景点,旅行社,118.083221,24.477322
海外环球国际旅行社,福建,厦门,厦门,0592,8121196,中山路/轮渡,镇海路37号民盛大厦8楼,景点,旅行社,118.086426,24.451475
美好时光旅行社,福建,厦门,厦门,0592,4006592005,火车站,东坪二里自然家园148号103室,景点,旅行社,118.120583,24.468983
福人假期旅行社,福建,厦门,厦门,0592,,莲前大道/加州广场,嘉盛豪园32栋304室,景点,旅行社,118.154992,24.480647
中国旅行社航空旅游中心,福建,厦门,厦门,0592,,中山路/轮渡,中山路与城隍庙巷交叉口东140米,景点,旅行社,118.086273,24.455063
厦门科技馆,福建,厦门,厦门,0592,5147666,体育路,筼筜街道体育路95号厦门文化艺术中心,景点,科技馆,118.108191,24.490773
蔡复一故居,福建,厦门,厦门,0592,,同安老城区/钟楼,大同街道环城北路876号,景点,名人故居,118.155922,24.734385
怀旧鼓浪屿博物馆,福建,厦门,鼓浪屿,0592,2061555,鼓浪屿,鼓浪屿街道福建路62号,景点,博物馆,118.071686,24.443907
康佳游乐中心,福建,厦门,厦门,0592,,高林/万达广场,金山路与下湖路交叉口东140米,景点,主题公园,118.177292,24.504744
演武大桥,福建,厦门,厦门,0592,,环岛路沿线,演武大桥,景点,城市观光,118.089119,24.433956
惠和石文化园,福建,厦门,厦门,0592,5908279;5518977,环岛路沿线,吕岭路忠仑公园,景点,文化公园,118.151138,24.487291
厦门纵四方国际旅行社有限公司,福建,厦门,厦门,0592,189****5918;189****5903,白鹭洲公园,湖滨东路319号人才中心C栋549单元,景点,旅行社,118.101121,24.489261
绿九洲爬虫世界,福建,厦门,厦门,0592,2087566,环岛路沿线,环岛路35号（景州乐园）,景点,更多景点/周边游,118.14061,24.430344
巨鹏飞梦幻水世界,福建,厦门,厦门,0592,5888863;4008807677,观音山,环岛东路观音山商业街17号,景点,水上乐园,118.198441,24.49486
海沧湾公园,福建,厦门,厦门,0592,,海沧商业圈,海沧大道,景点,公园/广场,118.054428,24.488026
曾厝垵文创村,福建,厦门,厦门,0592,2089787,环岛路沿线,滨海街道国办路与环岛南路交叉口,景点,古村古镇,118.125404,24.425026
环岛南路,福建,厦门,厦门,0592,,环岛路沿线,环岛南路,景点,步行街,118.142761,24.43178
黄厝海滨,福建,厦门,厦门,0592,131****0778,环岛路沿线,环岛南路,景点,海滨沙滩,118.161784,24.442541
万丰旅行社,福建,厦门,厦门,0592,5180832;152****2651,火车站,梧村街道厦禾路897号罗宾森广场楼上钻石阁18楼1806室(近火车站),景点,旅行社,118.113907,24.469187
