名称,省份,真实城市,市县区,区号,电话,区域,地址,大分类,小分类,经度,纬度
宝中旅游,四川,成都,崇州市,028,82272500,上南街,大东街28号,景点,旅行社,103.673499,30.628679
王国英故居,四川,成都,崇州市,028,,崇州市,涌泉街69号,景点,名人故居,103.626962,30.730592
东湖,四川,成都,崇州市,028,,唐人街,唐安东路,景点,公园/广场,103.695709,30.63131
琴鹤广场,四川,成都,崇州市,028,,滨河路南段,滨江路南一段179号,景点,广场,103.659225,30.622431
永圣寺,四川,成都,崇州市,028,,中心广场,崇庆北路505-509号,景点,宗教,103.67926,30.642324
大悲寺,四川,成都,崇州市,028,,崇州市,崇新路一段248号,景点,宗教,103.776457,30.539476
白云沟,四川,成都,崇州市,028,,崇州市,苟家路与鸡冠山路交叉口东100米,景点,自然风光,103.397797,30.793177
九龙寺,四川,成都,崇州市,028,,崇州市,玉泉街与红岩路交叉口东南400米,景点,宗教,103.524888,30.796081
高风堂会议中心,四川,成都,成都,028,82841555,洪河/半边街,惠王陵东路109号四川师范大学东校区,景点,景点/周边游,104.162852,30.614422
中国青年旅行社,四川,成都,成都,028,88450118,音乐广场,驿都东路1024-1026号,景点,旅行社,104.263909,30.560229
龙翔龟楼,四川,成都,成都,028,,龙泉驿区,成简快速路,景点,历史建筑,104.287365,30.522695
天公山,四川,成都,成都,028,,龙泉驿区,燃灯寺路444号,景点,人文古迹,104.272912,30.542109
成都青旅,四川,成都,成都,028,84856556;84871318,音乐广场,驿生路56号,景点,旅行社,104.266302,30.558352
故里桃园,四川,成都,成都,028,84820980,龙泉驿区,318国道,景点,自然风光,104.321677,30.549282
洛带镇基督教堂,四川,成都,成都,028,,洛带古镇,五环路东段康馨苑-二期东侧约60米,景点,宗教,104.332914,30.638361
柳莺湖,四川,成都,成都,028,,十陵镇,翰墨路成都大学（成都大学地铁站C口步行210米）,景点,自然风光,104.183891,30.647758
金龙寺,四川,成都,成都,028,,龙泉驿区,长安街社区8组,景点,宗教,104.364919,30.685647
钟家大瓦房,四川,成都,成都,028,,龙泉驿区,二河村双堰路,景点,历史建筑,104.21329,30.506956
西部鞋村生态园,四川,成都,成都,028,,西河镇,青跃路,景点,更多景点/周边游,104.209251,30.654142
宝中旅游,四川,成都,成都,028,84860707,音乐广场,龙泉街道中街196号,景点,旅行社,104.268897,30.560717
